cabang,nobukti,det_id,produk_id,produk_kode_api,produk_nama_api,produk_kode_db,produk_nama_db,afkir,qty_beli,qty_diterima,subtotal_rp,subtotal_net_rp,status,catatan
5,KRT/PB/2604-0192,11928,4865,BT062,BAUT DRILLING STEEL 12X50,BT062,BAUT DRILLING STEEL 12X50,,60.0,60.0,6912000.0,6912000.0,OK,
5,KRT/PB/2604-0252,11929,6776,KB022,KABEL NYZ MERAH HITAM 50M,KB022,KABEL NYZ MERAH HITAM 50M,,160.0,160.0,7840000.0,7840000.0,OK,
5,KRT/PB/2604-0252,11930,6777,KB020,KABEL NYZ MERAH HITAM 100M,KB020,KABEL NYZ MERAH HITAM 100M,,200.0,200.0,19600000.0,19600000.0,OK,
5,KRT/PB/2604-0253,11931,10894,AL222,SENTER KEPALA KISEKI X-16 S,AL222,SENTER KEPALA KISEKI X-16 S,,60.0,60.0,9300000.0,9300000.0,OK,
5,KRT/PB/2604-0253,11932,10384,AL181,SENTER KEPALA KISEKI X-8D P,AL181,SENTER KEPALA KISEKI X-8D P,,60.0,60.0,8700000.0,8700000.0,OK,
5,KRT/PB/2604-0253,11933,10388,AL182,SENTER KPL KISEKI ZOOM 8,AL182,SENTER KPL KISEKI ZOOM 8,,60.0,60.0,8850000.0,8850000.0,OK,
5,KRT/PB/2604-0283,11934,7033,SH020,KUNCI PINTU SANSHAN BESAR,SH020,KUNCI PINTU SANSHAN BESAR,,348.0,348.0,39150000.0,37192500.0,OK,
5,KRT/PB/2604-0127,11935,7212,AV144,AVITEX GOLD BASE C 5KG,AV144,AVITEX GOLD BASE C 5KG,,8.0,8.0,1480000.0,1295000.0,OK,
5,KRT/PB/2604-0127,11936,257,AV004,"AVIAN 0,9L",AV004,"AVIAN 0,9L",,120.0,120.0,10296000.0,9523800.0,OK,
5,KRT/PB/2604-0127,11937,10775,AV230,SUPERSILK BASIC BASE A 20L,AV230,SUPERSILK BASIC BASE A 20L,,3.0,3.0,4596900.0,4022287.5,OK,
5,KRT/PB/2604-0128,11938,9830,AC021,MR120 AUDI,AC021,MR120 AUDI,,2.0,2.0,7429200.0,4457520.0,OK,
5,KRT/PB/2604-0128,11939,9142,AC035,SPIN MR60 TW ASH,AC035,SPIN MR60 TW ASH,,4.0,4.0,3716800.0,2230080.0,OK,
5,KRT/PB/2604-0130,11940,271,NP110,NIPPON WOOD FILLER 1KG,NP110,NIPPON WOOD FILLER 1KG,,12.0,12.0,474192.0,474192.0,OK,
5,KRT/PB/2604-0131,11941,357,NP031,NIPPON TIMBERTONE 1L,NP031,NIPPON TIMBERTONE 1L,,366.0,366.0,27045936.0,27045936.0,OK,
5,KRT/PB/2604-0132,11942,5197,NP102,MATEX READY MIX 4.5L,NP102,MATEX READY MIX 4.5L,,4.0,4.0,462336.0,462336.0,OK,
5,KRT/PB/2604-0133,11943,5221,NP130,KOMILEX READY MIX 4.5KG,NP130,KOMILEX READY MIX 4.5KG,,8.0,8.0,571256.0,571256.0,OK,
5,KRT/PB/2604-0134,11944,5221,NP130,KOMILEX READY MIX 4.5KG,NP130,KOMILEX READY MIX 4.5KG,,4.0,4.0,285628.0,285628.0,OK,
5,KRT/PB/2604-0135,11945,11751,NP274,THINNER NIPPON EPOXY 1L,NP274,THINNER NIPPON EPOXY 1L,,12.0,12.0,494376.0,494376.0,OK,
5,KRT/PB/2604-0136,11946,10584,OP037,MATRAS SPRING BED OLYMPIC GOLD EDEN23 160X200,OP037,MATRAS SPRING BED OLYMPIC GOLD EDEN23 160X200,,2.0,2.0,7530000.0,7530000.0,OK,
5,KRT/PB/2604-0136,11947,8194,OP066,SPRINGBED SILVER HESTIA 160X200,OP066,SPRINGBED SILVER HESTIA 160X200,,8.0,8.0,17944000.0,17944000.0,OK,
5,KRT/PB/2604-0138,11948,8642,OP103,KASUR BUSA OLYMPIC SUPER GOLD 160X200x20,OP103,KASUR BUSA OLYMPIC SUPER GOLD 160X200x20,,10.0,10.0,9950000.0,9950000.0,OK,
5,KRT/PB/2604-0137-01,11949,10584,OP037,MATRAS SPRING BED OLYMPIC GOLD EDEN23 160X200,OP037,MATRAS SPRING BED OLYMPIC GOLD EDEN23 160X200,,1.0,1.0,3765000.0,3765000.0,OK,
5,KRT/PB/2604-0265,11950,11951,CS015,RICE COOKER COSMOS CRJ 1803,CS015,RICE COOKER COSMOS CRJ 1803,,20.0,20.0,4557000.0,4465860.0,OK,
5,KRT/PB/2604-0266,11951,6492,MY016,STAND FAN MIYAKO 1618KB,MY016,STAND FAN MIYAKO 1618KB,,30.0,30.0,8177310.0,7931990.7,OK,
5,KRT/PB/2604-0266,11952,5730,MY014,STAND FAN MIYAKO KAS 1627 KB,MY014,STAND FAN MIYAKO KAS 1627 KB,,40.0,40.0,10835160.0,10510105.2,OK,
5,KRT/PB/2604-0266,11953,6655,MY019,W/FAN MIYAKO KAW 1689 RC PL,MY019,W/FAN MIYAKO KAW 1689 RC PL,,40.0,40.0,11888120.0,11531476.4,OK,
5,KRT/PB/2604-0267,11954,10642,LL019,SEKAI IWF 3077,LL019,SEKAI IWF 3077,,18.0,18.0,20179800.0,19978002.0,OK,
5,KRT/PB/2604-0273,11955,3207,CB243,BATU GOSOK INAX,CB243,BATU GOSOK INAX,,200.0,200.0,4000000.0,4000000.0,OK,
5,KRT/PB/2604-0276,11956,11952,LL115,OVEN LISTRIK MITO MO-999,LL115,OVEN LISTRIK MITO MO-999,,20.0,20.0,22180000.0,19518400.0,OK,
5,KRT/PB/2604-0276,11957,1124,ST057,SARINGAN DALAM KOMPOR 22,ST057,SARINGAN DALAM KOMPOR 22,,192.0,192.0,4262400.0,3580416.0,OK,
5,KRT/PB/2604-0276,11958,5120,ST138,SARINGAN DALAM KOMPOR 22 SET,ST138,SARINGAN DALAM KOMPOR 22 SET,,192.0,192.0,7246080.0,6086707.2,OK,
5,KRT/PB/2604-0276,11959,1125,ST058,SARINGAN DALAM KOMPOR 16,ST058,SARINGAN DALAM KOMPOR 16,,192.0,192.0,2983680.0,2506291.2,OK,
5,KRT/PB/2604-0276,11960,5121,ST139,SARINGAN DALAM KOMPOR 16 SET,ST139,SARINGAN DALAM KOMPOR 16 SET,,192.0,192.0,4475520.0,3759436.8,OK,
5,KRT/PB/2604-0282,11961,11958,PU026,PINTU PVC VAPELY L-12,PU026,PINTU PVC VAPELY L-12,,10.0,10.0,6850000.0,6507500.0,OK,
5,KRT/PB/2604-0282,11962,11959,PU027,PINTU PVC VAPELY R-12,PU027,PINTU PVC VAPELY R-12,,5.0,5.0,3425000.0,3253750.0,OK,
5,KRT/PB/2604-0139,11963,122,SM001,SEMEN CONCH,SM001,SEMEN CONCH,,1000.0,1000.0,63500000.0,63500000.0,OK,
5,KRT/PB/2604-0144,11964,7982,OP041,SPRINGBED SENTRAT 120X200,OP041,SPRINGBED SENTRAT 120X200,,6.0,6.0,9558000.0,9558000.0,OK,
5,KRT/PB/2604-0140,11968,4111,NP116,NIPPON ELASTEX PASTEL BASE 20KG,NP116,NIPPON ELASTEX PASTEL BASE 20KG,,50.0,50.0,41143150.0,41143150.0,OK,
5,KRT/PB/2604-0140,11969,4178,NP117,NIPPON ELASTEX DEEP BASE 20KG,NP117,NIPPON ELASTEX DEEP BASE 20KG,,15.0,15.0,11409390.0,11409390.0,OK,
5,KRT/PB/2604-0140,11970,4113,NP115,NIPPON ELASTEX ACCENT BASE 20KG,NP115,NIPPON ELASTEX ACCENT BASE 20KG,,15.0,15.0,10875480.0,10875480.0,OK,
5,KRT/PB/2604-0140,11971,4258,NP112,ELASTEX PASTEL BASE 4KG,NP112,ELASTEX PASTEL BASE 4KG,,160.0,160.0,29249440.0,29249440.0,OK,
5,KRT/PB/2604-0140,11972,4167,NP076,VINILEX PASTEL BASE 25KG,NP076,VINILEX PASTEL BASE 25KG,,50.0,50.0,34028000.0,34028000.0,OK,
5,KRT/PB/2604-0141,11973,8296,AC025,COZY STC 50 A/B - SILVER,AC025,COZY STC 50 A/B - SILVER,,20.0,20.0,9482000.0,5689200.0,OK,
5,KRT/PB/2604-0142,11974,191,PS043,"SOK LURUS 1/2""",PS043,"SOK LURUS 1/2""",,1100.0,1100.0,858000.0,793650.0,OK,
5,KRT/PB/2604-0143,11975,6529,SM007,SEMEN TONASA,SM007,SEMEN TONASA,,950.0,950.0,64600000.0,64600000.0,OK,
5,KRT/PB/2604-0263,11976,2960,MB281,AKI GS 50A,MB281,AKI GS 50A,,32.0,32.0,24320000.0,24320000.0,OK,
5,KRT/PB/2604-0275,11977,706,KW011,KAWAT LAS RB 2.6 UKURAN 2.6,KW011,KAWAT LAS RB 2.6 UKURAN 2.6,,160.0,160.0,27040000.0,27040000.0,OK,
5,KRT/PB/2604-0279,11978,110,SG015,SENG MULTIROOF PASIR HITAM,SG015,SENG MULTIROOF PASIR HITAM,,2000.0,2000.0,53000000.0,53000000.0,OK,
5,KRT/PB/2604-0248,11979,7982,OP041,SPRINGBED SENTRAT 120X200,OP041,SPRINGBED SENTRAT 120X200,,4.0,4.0,6372000.0,6372000.0,OK,
5,KRT/PB/2604-0248,11980,8171,OP046,GULING PROCELLA DACRON,OP046,GULING PROCELLA DACRON,,4.0,4.0,200000.0,0.0,OK,
5,KRT/PB/2604-0274,11981,706,KW011,KAWAT LAS RB 2.6 UKURAN 2.6,KW011,KAWAT LAS RB 2.6 UKURAN 2.6,,200.0,200.0,33800000.0,33800000.0,OK,
5,KRT/PB/2604-0281,11982,11133,KP004,KARPET 1.3X20M,KP004,KARPET 1.3X20M,,100.0,100.0,49500000.0,49500000.0,OK,
5,KRT/PB/2604-0148,11983,122,SM001,SEMEN CONCH,SM001,SEMEN CONCH,,1000.0,1000.0,63500000.0,63500000.0,OK,
5,KRT/PB/2604-0249,11984,8177,OP051,KURSI OLYMPLAST OL 507 S,OP051,KURSI OLYMPLAST OL 507 S,,100.0,100.0,14200000.0,14200000.0,OK,
5,KRT/PB/2604-0268,11985,11444,LL108,SEPEDA LISTRIK D66A,LL108,SEPEDA LISTRIK D66A,,40.0,40.0,136000000.0,136000000.0,OK,
5,KRT/PB/2604-0149,11986,10727,NP273,VINILEX PRO 1000 20KG SUPER WHITE,NP273,VINILEX PRO 1000 20KG SUPER WHITE,,5.0,5.0,2335440.0,2335440.0,OK,
